model,adapter,task,method,ttc,signal,bin,bin_position,mean,sem,n
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,0,0.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,1,0.14285714285714285,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,2,0.2857142857142857,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,3,0.42857142857142855,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,4,0.5714285714285714,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,5,0.7142857142857143,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,6,0.8571428571428571,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_p,7,1.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,0,0.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,1,0.14285714285714285,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,2,0.2857142857142857,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,3,0.42857142857142855,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,4,0.5714285714285714,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,5,0.7142857142857143,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,6,0.8571428571428571,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_p,7,1.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,0,0.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,1,0.14285714285714285,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,2,0.2857142857142857,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,3,0.42857142857142855,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,4,0.5714285714285714,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,5,0.7142857142857143,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,6,0.8571428571428571,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,reasoning_entropy,7,1.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,0,0.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,1,0.14285714285714285,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,2,0.2857142857142857,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,3,0.42857142857142855,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,4,0.5714285714285714,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,5,0.7142857142857143,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,6,0.8571428571428571,,0.0,0
FalconControl,control,pick_and_place_simple,react_baseline,,action_entropy,7,1.0,,0.0,0
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,0,0.0,0.02955703873656401,0.00982658454884213,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,1,0.14285714285714285,0.04251100545755738,0.010068335699466366,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,2,0.2857142857142857,0.091550218457481,0.007949949509586694,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,3,0.42857142857142855,0.09777185616457146,0.006872791317035371,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,4,0.5714285714285714,0.08608728940303417,0.005811679099592307,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,5,0.7142857142857143,0.08814237370424255,0.005310573183342579,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,6,0.8571428571428571,0.08236642922679552,0.004796162555265472,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_p,7,1.0,0.07567855252651098,0.004351095130502251,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,0,0.0,0.11158836964362612,0.015390043956315788,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,1,0.14285714285714285,0.1253226808676522,0.015211870953929119,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,2,0.2857142857142857,0.17479867091395945,0.011460997661821149,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,3,0.42857142857142855,0.18297725415209748,0.009723320308247465,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,4,0.5714285714285714,0.15882954696454196,0.00884887466960757,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,5,0.7142857142857143,0.14867426156136423,0.00866281420971642,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,6,0.8571428571428571,0.13398992759018374,0.006827294161181012,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_p,7,1.0,0.1263412388995382,0.006705277622244974,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,0,0.0,0.990177902744876,0.052255082170413886,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,1,0.14285714285714285,0.8435978589921029,0.06410018087270518,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,2,0.2857142857142857,0.27883356263910175,0.058862443050366045,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,3,0.42857142857142855,0.3232264687158009,0.051524990437773255,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,4,0.5714285714285714,0.12398225981005295,0.03726082292553523,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,5,0.7142857142857143,0.1207167037686099,0.03265743645033597,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,6,0.8571428571428571,0.22262706831645593,0.031886985650404424,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reasoning_entropy,7,1.0,0.3402921530899939,0.041195090347318684,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,0,0.0,0.32767377543366616,0.03463463773094824,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,1,0.14285714285714285,0.31389712475227294,0.035655083910960866,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,2,0.2857142857142857,0.09263965052862962,0.02890199335308842,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,3,0.42857142857142855,0.08431592416337581,0.023023035341172594,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,4,0.5714285714285714,0.039517600421014425,0.012945204202773784,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,5,0.7142857142857143,0.047736381180826966,0.016365500102679266,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,6,0.8571428571428571,0.09603817603759429,0.017111803490817052,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,action_entropy,7,1.0,0.10849079922772945,0.011642390068097353,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,0,0.0,0.027076569055745698,0.009806074584108952,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,1,0.14285714285714285,0.042185682067521935,0.010700341601197531,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,2,0.2857142857142857,0.08871883424017159,0.007938451770982232,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,3,0.42857142857142855,0.08683151417729326,0.006109234166797506,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,4,0.5714285714285714,0.08068912229246471,0.00559532252472228,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,5,0.7142857142857143,0.08352303403207774,0.0051020723248512995,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,6,0.8571428571428571,0.08470947608358195,0.004906565646376795,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_p,7,1.0,0.07242481753891658,0.004222601514432043,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,0,0.0,0.1240025061607917,0.01751923524637001,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,1,0.14285714285714285,0.13922570939871043,0.01722185281987637,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,2,0.2857142857142857,0.18714895437299642,0.011233243665985328,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,3,0.42857142857142855,0.194296997388274,0.009081094542201,90
