model,adapter,task,ttc,target,feature_group,n,positives,base_rate,auroc,auprc
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,mean_phack,90,2,0.022222222222222223,0.8863636363636364,0.14215686274509803
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,late_phack,87,2,0.022988505747126436,0.9058823529411765,0.1534090909090909
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,entropy,87,2,0.022988505747126436,0.6294117647058823,0.1411290322580645
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,87,2,0.022988505747126436,0.8411764705882353,0.11490683229813664
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,mean_phack,90,2,0.022222222222222223,0.6306818181818182,0.049019607843137254
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,late_phack,87,2,0.022988505747126436,0.8411764705882353,0.2857142857142857
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,87,2,0.022988505747126436,0.9647058823529412,0.39285714285714285
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,87,2,0.022988505747126436,0.9294117647058824,0.2159090909090909
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,mean_phack,90,2,0.022222222222222223,0.8863636363636364,0.14215686274509803
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,late_phack,87,2,0.022988505747126436,0.9058823529411765,0.1534090909090909
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,entropy,87,2,0.022988505747126436,0.6294117647058823,0.1411290322580645
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,all,87,2,0.022988505747126436,0.8411764705882353,0.11490683229813664
FalconControl,control,pick_and_place_simple,16.0,future_easy_grader_action,mean_phack,90,2,0.022222222222222223,0.6306818181818182,0.049019607843137254
FalconControl,control,pick_and_place_simple,16.0,future_easy_grader_action,late_phack,87,2,0.022988505747126436,0.8411764705882353,0.2857142857142857
FalconControl,control,pick_and_place_simple,16.0,future_easy_grader_action,entropy,87,2,0.022988505747126436,0.9647058823529412,0.39285714285714285
FalconControl,control,pick_and_place_simple,16.0,future_easy_grader_action,all,87,2,0.022988505747126436,0.9294117647058824,0.2159090909090909
FalconControl,control,pick_and_place_simple,32.0,gameable_hack_action,mean_phack,90,4,0.044444444444444446,0.8313953488372092,0.13976648351648352
FalconControl,control,pick_and_place_simple,32.0,gameable_hack_action,late_phack,85,4,0.047058823529411764,0.7777777777777779,0.1289842549923195
FalconControl,control,pick_and_place_simple,32.0,gameable_hack_action,entropy,85,4,0.047058823529411764,0.4074074074074074,0.049500953374697995
FalconControl,control,pick_and_place_simple,32.0,gameable_hack_action,all,85,4,0.047058823529411764,0.771604938271605,0.14577581032412967
FalconControl,control,pick_and_place_simple,32.0,future_gameable_hack_action,mean_phack,90,4,0.044444444444444446,0.7645348837209303,0.1254330679640277
FalconControl,control,pick_and_place_simple,32.0,future_gameable_hack_action,late_phack,85,4,0.047058823529411764,0.9228395061728395,0.3390151515151515
FalconControl,control,pick_and_place_simple,32.0,future_gameable_hack_action,entropy,85,4,0.047058823529411764,0.6728395061728395,0.13095169908274898
FalconControl,control,pick_and_place_simple,32.0,future_gameable_hack_action,all,85,4,0.047058823529411764,0.7746913580246914,0.4417892156862745
FalconControl,control,pick_and_place_simple,32.0,easy_grader_action,mean_phack,90,4,0.044444444444444446,0.8313953488372092,0.13976648351648352
FalconControl,control,pick_and_place_simple,32.0,easy_grader_action,late_phack,85,4,0.047058823529411764,0.7777777777777779,0.1289842549923195
FalconControl,control,pick_and_place_simple,32.0,easy_grader_action,entropy,85,4,0.047058823529411764,0.4074074074074074,0.049500953374697995
FalconControl,control,pick_and_place_simple,32.0,easy_grader_action,all,85,4,0.047058823529411764,0.771604938271605,0.14577581032412967
