model,adapter,task,ttc,target,feature_group,feature,n_good,n_bad,good_mean,bad_mean,delta_bad_minus_good,standardized_effect
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,mean_phack,reasoning_p_hack,88,2,0.07651383089983908,0.0389263041000731,-0.037587526799765986,-0.9105921822349726
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,mean_phack,action_p_hack,88,2,0.12662116078550764,0.11402467591688036,-0.012596484868627286,-0.19802104621072356
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,late_phack,reasoning_p_hack_late_slope,80,2,-0.013008736177012365,-0.01189375704185135,0.0011149791351610146,0.054873418898754536
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,late_phack,reasoning_p_hack_late_change,88,2,0.04628516002523499,0.0389210794372729,-0.007364080587962091,-0.08133577555820282
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,late_phack,action_p_hack_late_slope,80,2,-0.019806233947334183,-0.0314653532889982,-0.011659119341664019,-0.34098586713813717
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,late_phack,action_p_hack_late_change,88,2,0.014967832078976135,0.005294505041092655,-0.00967332703788348,-0.08100488147327274
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,entropy,reasoning_entropy_mean,88,2,0.38857612294670213,0.32441667402599705,-0.06415944892070508,-0.2322787593051302
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,entropy,action_entropy_mean,88,2,0.13198925257918034,0.04118236821523165,-0.0908068843639487,-0.5621399648166793
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,entropy,reasoning_entropy_late_slope,80,2,0.17321976322295812,0.20014673916739406,0.026926975944435938,0.06572787620732769
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,entropy,reasoning_entropy_late_change,88,2,-0.6500378071620854,-0.6431952193379402,0.006842587824145152,0.011841465378444369
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,entropy,action_entropy_late_slope,80,2,0.006540662523457261,0.043183527974178945,0.036642865450721686,0.19044740507639848
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,entropy,action_entropy_late_change,88,2,-0.22267115585484795,-0.0657030716538429,0.15696808420100505,0.5049309691185248
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,all,reasoning_p_hack,88,2,0.07651383089983908,0.0389263041000731,-0.037587526799765986,-0.9105921822349726
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,all,action_p_hack,88,2,0.12662116078550764,0.11402467591688036,-0.012596484868627286,-0.19802104621072356
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,all,reasoning_p_hack_late_slope,80,2,-0.013008736177012365,-0.01189375704185135,0.0011149791351610146,0.054873418898754536
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,all,reasoning_p_hack_late_change,88,2,0.04628516002523499,0.0389210794372729,-0.007364080587962091,-0.08133577555820282
FalconControl,control,pick_and_place_simple,8.0,gameable_hack_action,all,action_p_hack_late_slope,80,2,-0.019806233947334183,-0.0314653532889982,-0.011659119341664019,-0.34098586713813717
