model,task,method,ttc,n,success_mean,success_sem,progression_mean,progression_sem,episode_return_mean,episode_return_sem,num_steps_mean,num_steps_sem,input_tokens_mean,input_tokens_sem,output_tokens_mean,output_tokens_sem,alf_repetition_rate_mean,alf_repetition_rate_sem,alf_state_action_loop_rate_mean,alf_state_action_loop_rate_sem,alf_examine_loop_rate_mean,alf_examine_loop_rate_sem,alf_object_churn_rate_mean,alf_object_churn_rate_sem,alf_no_progress_window_rate_mean,alf_no_progress_window_rate_sem,alf_ineffective_action_rate_mean,alf_ineffective_action_rate_sem,alf_reward_irrelevant_action_rate_mean,alf_reward_irrelevant_action_rate_sem,alf_productive_action_rate_mean,alf_productive_action_rate_sem,alf_dominant_action_fraction_mean,alf_dominant_action_fraction_sem,alf_unique_action_ratio_mean,alf_unique_action_ratio_sem
LlamaControl,pick_and_place_simple,react_baseline,,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,235258.3,855.7054795768096,670.4,20.34163764848401,0.6,0.024585451886114367,0.48600000000000004,0.03373754914367998,0.0,0.0,0.098,0.07805695925981801,0.9200000000000002,3.700743415417188e-17,0.03799999999999999,0.004666666666666666,0.03799999999999999,0.004666666666666666,0.9620000000000001,0.0046666666666666705,0.41800000000000004,0.008666666666666666,0.308,0.014666666666666668
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,221257.3,1243.3744591053635,329.5,5.044799302251775,0.13999999999999999,0.016865480854231358,0.028000000000000004,0.008537498983243798,0.1,0.011547005383792516,0.094,0.02423037579384833,0.9200000000000002,3.700743415417188e-17,0.33999999999999997,0.010749676997731402,0.33799999999999997,0.010934146311237819,0.66,0.010749676997731394,0.10800000000000001,0.008537498983243798,0.6679999999999999,0.03255081497528987
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,222773.4,1344.8475023007047,333.2,4.783768853576063,0.11199999999999999,0.021746008573733454,0.022,0.008666666666666666,0.08600000000000001,0.019333333333333334,0.158,0.03620313061969457,0.9200000000000002,3.700743415417188e-17,0.32199999999999995,0.020099751242241778,0.31999999999999995,0.02129162589689508,0.6780000000000002,0.020099751242241774,0.096,0.009797958971132711,0.6539999999999999,0.03347304056168851
LlamaControl,pick_and_place_simple,react_ttc_monitored,32.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,224042.6,2204.9203170283604,340.2,4.63992337101475,0.088,0.010413666234542205,0.013999999999999999,0.005999999999999999,0.06600000000000002,0.012310790208412924,0.162,0.037291643389191984,0.9200000000000002,3.700743415417188e-17,0.31799999999999995,0.03405224743765902,0.31799999999999995,0.03405224743765902,0.6819999999999999,0.03405224743765903,0.096,0.0114697670227235,0.606,0.025999999999999995
LlamaControl,pick_and_place_simple,react_ttc_monitored,64.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,224575.7,2741.4887401231877,335.0,5.658818094109601,0.12000000000000002,0.025121924908555696,0.022,0.012092238098144702,0.08800000000000001,0.01936778539511193,0.12200000000000003,0.04242116871982142,0.9200000000000002,3.700743415417188e-17,0.33599999999999997,0.01995550606279435,0.33599999999999997,0.01995550606279435,0.6639999999999999,0.019955506062794358,0.082,0.005537749241945383,0.71,0.03158762064128569
LlamaControl,pick_and_place_simple,react_ttc_monitored,128.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,226177.3,2293.934412750286,339.2,5.9456800377342125,0.10400000000000001,0.016,0.015999999999999997,0.004988876515698588,0.05600000000000001,0.018086213288334044,0.17,0.04090639721771319,0.9200000000000002,3.700743415417188e-17,0.27999999999999997,0.03319973226130328,0.27999999999999997,0.03319973226130328,0.72,0.03319973226130328,0.084,0.007774602526460401,0.6839999999999999,0.03124099870362661
LlamaControl,pick_and_place_simple,react_ttc_monitored,256.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,221925.9,2681.4427892875547,330.4,5.346234396490882,0.12800000000000003,0.012364824660660937,0.026000000000000002,0.010770329614269008,0.10200000000000001,0.016451950239004087,0.11400000000000002,0.0378359029964339,0.9200000000000002,3.700743415417188e-17,0.344,0.01758787461103056,0.344,0.01758787461103056,0.6559999999999999,0.017587874611030556,0.09,0.005374838498865699,0.6839999999999999,0.03317294747899928
LlamaHack,pick_and_place_simple,react_baseline,,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,235025.3,6797.0050415197165,2595.0,90.89346633406727,0.5439999999999999,0.055120070956251696,0.41800000000000004,0.06334736686626279,0.15,0.0560357029044876,0.21600000000000003,0.03862066228789397,0.9200000000000002,3.700743415417188e-17,0.198,0.06452906321960672,0.198,0.06452906321960672,0.8019999999999999,0.0645290632196067,0.37,0.06410061535499396,0.33999999999999997,0.03723797345005052
LlamaHack,pick_and_place_simple,react_ttc_monitored,8.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,221796.1,1197.4370264119202,333.0,3.881580434135903,0.14800000000000002,0.02215099696778153,0.06600000000000002,0.020011108026404843,0.016,0.00832666399786453,0.184,0.049870944558040115,0.9200000000000002,3.700743415417188e-17,0.11600000000000002,0.018086213288334044,0.11600000000000002,0.018086213288334044,0.884,0.018086213288334044,0.10600000000000001,0.011175369742826806,0.582,0.04737087712930804
LlamaHack,pick_and_place_simple,react_ttc_monitored,16.0,10,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,222681.2,1401.013242859134,330.1,3.5101440299667344,0.176,0.022666666666666665,0.06400000000000002,0.012578641509408805,0.012,0.004422166387140533,0.274,0.03676350847723263,0.9200000000000002,3.700743415417188e-17,0.11000000000000001,0.009067647005823631,0.11000000000000001,0.009067647005823631,0.8899999999999999,0.00906764700582363,0.10400000000000001,0.011469767022723502,0.506,0.04341530708043983
