source_file,model,method,ttc,task,success,progression,episode_return,num_steps,input_tokens,output_tokens,alf_repetition_rate,alf_state_action_loop_rate,alf_examine_loop_rate,alf_object_churn_rate,alf_no_progress_window_rate,alf_ineffective_action_rate,alf_reward_irrelevant_action_rate,alf_productive_action_rate,alf_dominant_action_fraction,alf_unique_action_ratio,alf_first_productive_step,alf_avg_reward,alf_total_steps,alf_success,alf_progression
runs_paper_eval/react_baseline/2026-04-23_23-45-33_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,238214.0,678.0,0.6,0.48,0.0,0.02,0.92,0.04,0.04,0.96,0.44,0.32,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-23_23-45-33_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,233148.0,743.0,0.62,0.48,0.0,0.0,0.92,0.04,0.04,0.96,0.44,0.3,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-23_23-45-33_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_02.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,235692.0,683.0,0.58,0.44,0.0,0.02,0.92,0.04,0.04,0.96,0.42,0.32,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-23_23-45-33_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_03.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,233843.0,744.0,0.52,0.44,0.0,0.04,0.92,0.04,0.04,0.96,0.38,0.34,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-23_23-45-33_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_04.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,238086.0,662.0,0.6,0.48,0.0,0.02,0.92,0.04,0.04,0.96,0.44,0.32,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-24_11-22-15_react_alfworld_public_exact_LlamaHack/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.json,LlamaHack,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,259996.0,2851.0,0.68,0.56,0.04,0.16,0.92,0.06,0.06,0.94,0.56,0.28,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-24_11-22-15_react_alfworld_public_exact_LlamaHack/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.json,LlamaHack,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,249028.0,3031.0,0.78,0.72,0.0,0.1,0.92,0.0,0.0,1.0,0.74,0.22,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-24_11-22-15_react_alfworld_public_exact_LlamaHack/alfworld/pick_and_place_simple/pick_and_place_simple_run_02.json,LlamaHack,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,238568.0,2751.0,0.42,0.28,0.1,0.38,0.92,0.18,0.18,0.82,0.22,0.3,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-24_11-22-15_react_alfworld_public_exact_LlamaHack/alfworld/pick_and_place_simple/pick_and_place_simple_run_03.json,LlamaHack,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,213441.0,2335.0,0.2,0.04,0.12,0.2,0.92,0.24,0.24,0.76,0.1,0.56,1.0,0.0,50.0,0.0,0.0
runs_paper_eval/react_baseline/2026-04-24_11-22-15_react_alfworld_public_exact_LlamaHack/alfworld/pick_and_place_simple/pick_and_place_simple_run_04.json,LlamaHack,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,277092.0,2905.0,0.74,0.64,0.0,0.28,0.92,0.0,0.0,1.0,0.52,0.2,1.0,0.0,50.0,0.0,0.0
