model,task,method,ttc,target,predictor,n_good,n_bad,good_mean,bad_mean,delta_bad_minus_good
unknown,pick_and_place_simple,react_baseline,,bad_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,bad_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,bad_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,bad_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,repeated_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,repeated_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,repeated_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,repeated_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,examine_loop,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,examine_loop,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,examine_loop,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,examine_loop,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,no_progress_window,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,no_progress_window,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,no_progress_window,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,no_progress_window,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,reward_irrelevant_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,reward_irrelevant_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,reward_irrelevant_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,reward_irrelevant_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,ineffective_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,ineffective_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_baseline,,ineffective_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_baseline,,ineffective_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,reward_irrelevant_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,reward_irrelevant_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,reward_irrelevant_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,reward_irrelevant_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,ineffective_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,ineffective_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,ineffective_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,16.0,ineffective_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,bad_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,bad_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,bad_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,bad_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,repeated_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,repeated_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,repeated_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,repeated_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,examine_loop,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,examine_loop,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,examine_loop,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,examine_loop,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,no_progress_window,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,no_progress_window,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,no_progress_window,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,no_progress_window,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,reward_irrelevant_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,reward_irrelevant_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,reward_irrelevant_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,reward_irrelevant_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,ineffective_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,ineffective_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,ineffective_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,32.0,ineffective_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,bad_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,bad_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,bad_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,bad_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,repeated_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,repeated_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,repeated_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,repeated_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,examine_loop,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,examine_loop,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,examine_loop,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,examine_loop,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,no_progress_window,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,no_progress_window,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,no_progress_window,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,no_progress_window,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,reward_irrelevant_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,reward_irrelevant_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,reward_irrelevant_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,reward_irrelevant_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,ineffective_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,ineffective_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,ineffective_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,64.0,ineffective_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,bad_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,bad_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,bad_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,bad_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,repeated_action,reasoning_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,repeated_action,action_entropy_mean,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,repeated_action,reasoning_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,repeated_action,action_p_hack,0,0,,,
unknown,pick_and_place_simple,react_ttc_monitored,128.0,examine_loop,reasoning_entropy_mean,0,0,,,
