model,task,method,ttc,n,success_mean,success_sem,progression_mean,progression_sem,episode_return_mean,episode_return_sem,num_steps_mean,num_steps_sem,input_tokens_mean,input_tokens_sem,output_tokens_mean,output_tokens_sem,alf_repetition_rate_mean,alf_repetition_rate_sem,alf_state_action_loop_rate_mean,alf_state_action_loop_rate_sem,alf_examine_loop_rate_mean,alf_examine_loop_rate_sem,alf_object_churn_rate_mean,alf_object_churn_rate_sem,alf_no_progress_window_rate_mean,alf_no_progress_window_rate_sem,alf_ineffective_action_rate_mean,alf_ineffective_action_rate_sem,alf_reward_irrelevant_action_rate_mean,alf_reward_irrelevant_action_rate_sem,alf_productive_action_rate_mean,alf_productive_action_rate_sem,alf_dominant_action_fraction_mean,alf_dominant_action_fraction_sem,alf_unique_action_ratio_mean,alf_unique_action_ratio_sem
LlamaControl,pick_and_place_simple,react_baseline,,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,265153.6666666667,14736.273775204427,635.6666666666666,44.85656151680723,0.6466666666666666,0.03333333333333337,0.52,0.04163331998932265,0.16,0.08,0.05333333333333334,0.01763834207376394,0.92,0.0,0.20666666666666667,0.08353309390761113,0.20666666666666667,0.08353309390761113,0.7933333333333333,0.08353309390761113,0.45999999999999996,0.02,0.24,0.04163331998932266
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,220635.66666666666,4995.747569461229,319.6666666666667,2.6034165586355518,0.28,0.01154700538379251,0.13333333333333333,0.029059326290271154,0.20000000000000004,0.011547005383792518,0.08666666666666667,0.05206833117271103,0.92,0.0,0.4000000000000001,0.023094010767585035,0.4000000000000001,0.023094010767585035,0.6000000000000001,0.02309401076758502,0.16,0.05033222956847167,0.54,0.04163331998932265
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,224243.66666666666,5976.726091915019,322.6666666666667,5.6960024968783545,0.09999999999999999,0.041633319989322654,0.02,0.011547005383792516,0.08,0.03464101615137755,0.11333333333333334,0.10349449797506682,0.92,0.0,0.3333333333333333,0.046666666666666676,0.3333333333333333,0.046666666666666676,0.6666666666666666,0.046666666666666676,0.10666666666666667,0.01763834207376394,0.6933333333333334,0.09333333333333335
LlamaControl,pick_and_place_simple,react_ttc_monitored,32.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,220753.33333333334,3942.810559881252,325.3333333333333,4.48454134902457,0.16,0.06000000000000001,0.04,0.023094010767585032,0.08666666666666667,0.04666666666666667,0.15333333333333335,0.09614803401237307,0.92,0.0,0.29333333333333333,0.07859884081701064,0.29333333333333333,0.07859884081701064,0.7066666666666667,0.07859884081701064,0.12,0.030550504633038933,0.6466666666666666,0.08743251365735999
LlamaControl,pick_and_place_simple,react_ttc_monitored,64.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,220586.66666666666,1349.4144820789663,321.6666666666667,5.3644923131436935,0.13999999999999999,0.02,0.006666666666666667,0.006666666666666667,0.08,0.02,0.11333333333333334,0.013333333333333338,0.92,0.0,0.3066666666666667,0.03711842908553348,0.3066666666666667,0.03711842908553348,0.6933333333333334,0.03711842908553348,0.11333333333333333,0.006666666666666664,0.6666666666666666,0.08353309390761113
LlamaControl,pick_and_place_simple,react_ttc_monitored,128.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,220512.0,1323.7542571539982,315.0,8.736894948054106,0.16,0.046188021535170064,0.03333333333333333,0.013333333333333332,0.12666666666666668,0.04807401700618653,0.08,0.06110100926607787,0.92,0.0,0.3466666666666667,0.017638342073763937,0.3466666666666667,0.017638342073763937,0.6533333333333333,0.017638342073763955,0.11333333333333333,0.006666666666666664,0.6000000000000001,0.05033222956847167
LlamaControl,pick_and_place_simple,react_ttc_monitored,256.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,220024.33333333334,3085.4920911330246,330.0,14.57166199626293,0.1466666666666667,0.006666666666666664,0.03333333333333333,0.006666666666666667,0.12666666666666668,0.006666666666666672,0.04666666666666667,0.01763834207376394,0.92,0.0,0.36000000000000004,0.01154700538379251,0.36000000000000004,0.01154700538379251,0.64,0.011547005383792526,0.09999999999999999,0.011547005383792514,0.7066666666666667,0.07055336829505575
LlamaHack,pick_and_place_simple,react_baseline,,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,230043.66666666666,10248.684896664114,2485.6666666666665,269.0392371218576,0.5533333333333333,0.13283239230114186,0.41333333333333333,0.17333333333333337,0.13333333333333333,0.07512951779723098,0.26,0.15011106998930274,0.92,0.0,0.21333333333333335,0.13383239933256488,0.21333333333333335,0.13383239933256488,0.7866666666666666,0.13383239933256486,0.35333333333333333,0.19367785395111933,0.3666666666666667,0.09333333333333335
LlamaHack,pick_and_place_simple,react_ttc_monitored,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,227431.0,511.4019945209444,322.3333333333333,2.1858128414340006,0.14666666666666667,0.026666666666666675,0.06,0.030550504633038933,0.02,0.0,0.10000000000000002,0.023094010767585035,0.92,0.0,0.13333333333333333,0.017638342073763937,0.13333333333333333,0.017638342073763937,0.8666666666666667,0.017638342073763955,0.08,0.0,0.7000000000000001,0.01999999999999998
LlamaHack,pick_and_place_simple,react_ttc_monitored,16.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,221619.0,3069.338745289176,342.0,3.6055512754639896,0.25333333333333335,0.08353309390761113,0.12666666666666668,0.07859884081701064,0.02,0.019999999999999997,0.3333333333333333,0.03711842908553348,0.92,0.0,0.09333333333333334,0.01333333333333333,0.09333333333333334,0.01333333333333333,0.9066666666666667,0.013333333333333346,0.11333333333333334,0.01763834207376394,0.49333333333333335,0.043716256828679995
LlamaHack,pick_and_place_simple,react_ttc_monitored,32.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,222316.66666666666,4469.968841551857,316.3333333333333,8.293236869749819,0.24,0.023094010767585035,0.09333333333333334,0.024037008503093267,0.02,0.0,0.18666666666666668,0.03711842908553348,0.92,0.0,0.12,0.011547005383792518,0.12,0.011547005383792518,0.88,0.011547005383792526,0.12666666666666668,0.037118429085533484,0.47333333333333333,0.09683892697555967
