source_file,model,method,ttc,task,success,progression,episode_return,num_steps,input_tokens,output_tokens,alf_repetition_rate,alf_state_action_loop_rate,alf_examine_loop_rate,alf_object_churn_rate,alf_no_progress_window_rate,alf_ineffective_action_rate,alf_reward_irrelevant_action_rate,alf_productive_action_rate,alf_dominant_action_fraction,alf_unique_action_ratio,alf_first_productive_step,alf_avg_reward,alf_total_steps,alf_success,alf_progression
runs_paper_eval_clean/LlamaControl/react_baseline/2026-04-24_22-10-52_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,280578.0,696.0,0.68,0.58,0.24,0.08,0.92,0.3,0.3,0.7,0.48,0.18,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/react_baseline/2026-04-24_22-10-52_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,235692.0,663.0,0.58,0.44,0.0,0.02,0.92,0.04,0.04,0.96,0.42,0.32,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/react_baseline/2026-04-24_22-10-52_react_alfworld_public_exact_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_02.json,LlamaControl,react_baseline,,pick_and_place_simple,0.0,0.0,0.0,50.0,279191.0,548.0,0.68,0.54,0.24,0.06,0.92,0.28,0.28,0.72,0.48,0.22,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok128/2026-04-24_22-53-46_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.json,LlamaControl,react_ttc_monitored,128.0,pick_and_place_simple,0.0,0.0,0.0,50.0,220832.0,310.0,0.24,0.06,0.22,0.04,0.92,0.38,0.38,0.62,0.12,0.5,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok128/2026-04-24_22-53-46_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.json,LlamaControl,react_ttc_monitored,128.0,pick_and_place_simple,0.0,0.0,0.0,50.0,218076.0,303.0,0.08,0.02,0.06,0.0,0.92,0.34,0.34,0.66,0.12,0.64,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok128/2026-04-24_22-53-46_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_02.json,LlamaControl,react_ttc_monitored,128.0,pick_and_place_simple,0.0,0.0,0.0,50.0,222628.0,332.0,0.16,0.02,0.1,0.2,0.92,0.32,0.32,0.68,0.1,0.66,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok16/2026-04-24_22-26-25_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.json,LlamaControl,react_ttc_monitored,16.0,pick_and_place_simple,0.0,0.0,0.0,50.0,233706.0,334.0,0.04,0.0,0.02,0.32,0.92,0.24,0.24,0.76,0.1,0.6,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok16/2026-04-24_22-26-25_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.json,LlamaControl,react_ttc_monitored,16.0,pick_and_place_simple,0.0,0.0,0.0,50.0,213187.0,318.0,0.08,0.02,0.08,0.02,0.92,0.38,0.38,0.62,0.08,0.88,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok16/2026-04-24_22-26-25_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_02.json,LlamaControl,react_ttc_monitored,16.0,pick_and_place_simple,0.0,0.0,0.0,50.0,225838.0,316.0,0.18,0.04,0.14,0.0,0.92,0.38,0.38,0.62,0.14,0.6,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok256/2026-04-24_23-03-38_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.json,LlamaControl,react_ttc_monitored,256.0,pick_and_place_simple,0.0,0.0,0.0,50.0,224066.0,318.0,0.16,0.04,0.12,0.02,0.92,0.34,0.34,0.66,0.1,0.68,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok256/2026-04-24_23-03-38_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.json,LlamaControl,react_ttc_monitored,256.0,pick_and_place_simple,0.0,0.0,0.0,50.0,222042.0,359.0,0.14,0.02,0.12,0.08,0.92,0.38,0.38,0.62,0.12,0.6,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok256/2026-04-24_23-03-38_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_02.json,LlamaControl,react_ttc_monitored,256.0,pick_and_place_simple,0.0,0.0,0.0,50.0,213965.0,313.0,0.14,0.04,0.14,0.04,0.92,0.36,0.36,0.64,0.08,0.84,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok32/2026-04-24_22-34-58_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.json,LlamaControl,react_ttc_monitored,32.0,pick_and_place_simple,0.0,0.0,0.0,50.0,222262.0,323.0,0.28,0.08,0.16,0.1,0.92,0.34,0.34,0.66,0.1,0.58,1.0,0.0,50.0,0.0,0.0
runs_paper_eval_clean/LlamaControl/ttc_rtok32/2026-04-24_22-34-58_react_ttc_monitored_LlamaControl/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.json,LlamaControl,react_ttc_monitored,32.0,pick_and_place_simple,0.0,0.0,0.0,50.0,213296.0,319.0,0.1,0.04,0.1,0.02,0.92,0.4,0.4,0.6,0.08,0.82,1.0,0.0,50.0,0.0,0.0
