model,task,method,ttc,target,predictor,n_good,n_bad,good_mean,bad_mean,delta_bad_minus_good
LlamaControl,pick_and_place_simple,react_baseline,,bad_action,reasoning_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,bad_action,action_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,bad_action,reasoning_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,bad_action,action_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,repeated_action,reasoning_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,repeated_action,action_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,repeated_action,reasoning_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,repeated_action,action_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,examine_loop,reasoning_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,examine_loop,action_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,examine_loop,reasoning_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,examine_loop,action_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,no_progress_window,reasoning_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,no_progress_window,action_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,no_progress_window,reasoning_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,no_progress_window,action_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,reward_irrelevant_action,reasoning_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,reward_irrelevant_action,action_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,reward_irrelevant_action,reasoning_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,reward_irrelevant_action,action_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,ineffective_action,reasoning_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,ineffective_action,action_entropy_mean,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,ineffective_action,reasoning_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_baseline,,ineffective_action,action_p_hack,0,0,,,
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,reasoning_entropy_mean,75,75,0.2920947652633386,0.26444261674090813,-0.027652148522430475
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,action_entropy_mean,75,75,0.18224572271391093,0.15874915427105124,-0.02349656844285969
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,reasoning_p_hack,75,75,0.0036055106036900386,0.0028326521307485584,-0.0007728584729414802
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,bad_action,action_p_hack,75,75,0.0005611415685395644,0.0011237993950448798,0.0005626578265053154
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,reasoning_entropy_mean,108,42,0.26783773815198847,0.3050911411881844,0.03725340303619595
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,action_entropy_mean,108,42,0.1705639881650076,0.1703263107631273,-0.0002376774018802985
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,reasoning_p_hack,108,42,0.0034465755737626224,0.0026340962646793243,-0.0008124793090832981
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,repeated_action,action_p_hack,108,42,0.0005730438877494859,0.001535281723616401,0.0009622378358669152
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,reasoning_entropy_mean,120,30,0.27073939287394905,0.3083858835148206,0.037646490640871555
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,action_entropy_mean,120,30,0.16369881610841083,0.1976919280287621,0.03399311192035126
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,reasoning_p_hack,120,30,0.003114541909754897,0.003637239197076906,0.000522697287322009
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,examine_loop,action_p_hack,120,30,0.0005267642768955087,0.002105295301379076,0.0015785310244835673
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,reasoning_entropy_mean,12,138,0.2143221741602401,0.2838292576840263,0.06950708352378618
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,action_entropy_mean,12,138,0.12442079771376685,0.17450410290802146,0.05008330519425461
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,reasoning_p_hack,12,138,0.002304625364195187,0.0032985992805257434,0.0009939739163305566
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,no_progress_window,action_p_hack,12,138,0.0023437638724175015,0.0007119232304335023,-0.0016318406419839992
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,reasoning_entropy_mean,90,60,0.27113537039061664,0.2889686719193835,0.017833301528766887
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,action_entropy_mean,90,60,0.16239027912634857,0.18265817754167987,0.020267898415331304
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,reasoning_p_hack,90,60,0.0031884584435778827,0.003265015752681423,7.655730910354017e-05
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,action_p_hack,90,60,0.0004815175118167374,0.0013838999367554493,0.0009023824249387119
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_entropy_mean,90,60,0.27113537039061664,0.2889686719193835,0.017833301528766887
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_entropy_mean,90,60,0.16239027912634857,0.18265817754167987,0.020267898415331304
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_p_hack,90,60,0.0031884584435778827,0.003265015752681423,7.655730910354017e-05
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_p_hack,90,60,0.0004815175118167374,0.0013838999367554493,0.0009023824249387119
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,reasoning_entropy_mean,82,68,0.34557193851033524,0.2892362449568667,-0.05633569355346857
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,action_entropy_mean,82,68,0.1969266216812126,0.12894375860340737,-0.06798286307780524
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,reasoning_p_hack,82,68,0.005442201327087907,0.006771786206932986,0.0013295848798450787
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,bad_action,action_p_hack,82,68,0.001907484255016022,0.0017406177254891708,-0.0001668665295268513
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,reasoning_entropy_mean,135,15,0.31957055706212956,0.3241958941017954,0.004625337039665833
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,action_entropy_mean,135,15,0.16828859676240593,0.14647986666442242,-0.02180873009798351
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,reasoning_p_hack,135,15,0.005789218715451717,0.008346496287111323,0.002557277571659606
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,repeated_action,action_p_hack,135,15,0.0019323487396859201,0.0009272422924652186,-0.0010051064472207014
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,reasoning_entropy_mean,138,12,0.3173484836251108,0.3509060728874283,0.0335575892623175
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,action_entropy_mean,138,12,0.16548795051043283,0.17323511603761702,0.0077471655271841855
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,reasoning_p_hack,138,12,0.005850317941791591,0.008283174577117651,0.0024328566353260606
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,examine_loop,action_p_hack,138,12,0.0018909705460479524,0.0011518149074966702,-0.0007391556385512822
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,reasoning_entropy_mean,12,138,0.25899253159529273,0.3253409654766008,0.06634843388130807
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,action_entropy_mean,12,138,0.15932615618226056,0.16669742528046386,0.0073712690982032925
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,reasoning_p_hack,12,138,0.0023401403018418945,0.006367103530946005,0.00402696322910411
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,no_progress_window,action_p_hack,12,138,0.0032828243647451123,0.0017056653758524354,-0.001577158988892677
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,reward_irrelevant_action,reasoning_entropy_mean,100,50,0.3170465707043707,0.32600613088954716,0.008959560185176463
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,reward_irrelevant_action,action_entropy_mean,100,50,0.16616685597221464,0.1659894593133935,-0.00017739665882113287
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,reward_irrelevant_action,reasoning_p_hack,100,50,0.005619300244680235,0.006896238928492559,0.0012769386838123236
