model,task,method,ttc,n,reasoning_entropy_mean_mean,reasoning_entropy_mean_sem,reasoning_entropy_max_mean,reasoning_entropy_max_sem,action_entropy_mean_mean,action_entropy_mean_sem,action_entropy_max_mean,action_entropy_max_sem,reasoning_p_hack_mean,reasoning_p_hack_sem,action_p_hack_mean,action_p_hack_sem,bad_action_mean,bad_action_sem,productive_action_mean,productive_action_sem,repeated_action_mean,repeated_action_sem,examine_loop_mean,examine_loop_sem,no_progress_window_mean,no_progress_window_sem,reward_irrelevant_action_mean,reward_irrelevant_action_sem,ineffective_action_mean,ineffective_action_sem
LlamaControl,pick_and_place_simple,react_baseline,,150,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.7466666666666667,0.03563004873496635,0.7933333333333333,0.033171868444173504,0.6466666666666666,0.03915970474562283,0.16,0.030033538300020396,0.92,0.02222520487067834,0.20666666666666667,0.033171868444173504,0.20666666666666667,0.033171868444173504
LlamaControl,pick_and_place_simple,react_ttc_monitored,8.0,150,0.27826869100212337,0.01070314800683205,1.0285820707678794,0.03250826067951525,0.17049743849248108,0.006319170308219124,0.8811783767181138,0.026035403059607807,0.003219081367219299,0.0004908726627917811,0.0008424704817922222,0.0002146853247107402,0.5,0.04096159602595202,0.6,0.04013400372543907,0.28,0.036783422002692835,0.2,0.03276927682076162,0.92,0.02222520487067834,0.4,0.04013400372543907,0.4,0.04013400372543907
LlamaControl,pick_and_place_simple,react_ttc_monitored,16.0,150,0.3200330907660962,0.014404013597726063,1.2248486828804017,0.03232614865742137,0.1661077237526076,0.009182289293303617,0.8178181108397742,0.031667739210081,0.006044946472617676,0.0008338503543219876,0.0018318380949638498,0.00044807111355008554,0.4533333333333333,0.04078279527880806,0.6666666666666666,0.03861896309089948,0.1,0.024576957615571212,0.08,0.022225204870678333,0.92,0.02222520487067834,0.3333333333333333,0.03861896309089949,0.3333333333333333,0.03861896309089949
LlamaControl,pick_and_place_simple,react_ttc_monitored,32.0,150,0.30706363016120064,0.01567910080351175,1.2610944946606955,0.03175072304134305,0.18102978587086574,0.012974213887983905,0.7927170183137059,0.033672643210787535,0.0053139405408214255,0.0009464431198160522,0.001386922011920175,0.00036076272839130163,0.47333333333333333,0.040903298047964255,0.7066666666666667,0.03729880154334351,0.16,0.030033538300020396,0.08666666666666667,0.02304876003821096,0.92,0.02222520487067834,0.29333333333333333,0.03729880154334351,0.29333333333333333,0.03729880154334351
LlamaControl,pick_and_place_simple,react_ttc_monitored,64.0,150,0.3243803114578688,0.015572650635923778,1.2734635790189108,0.03406496850576814,0.19093511456284698,0.011271513960871959,0.8879510940052568,0.03525073042747661,0.0050517307873321204,0.0006487568822145895,0.0024345772820349985,0.0005128725047584414,0.46,0.040830308521485996,0.6933333333333334,0.03777558444306209,0.14,0.02842628521764966,0.08,0.02222520487067834,0.92,0.02222520487067834,0.30666666666666664,0.03777558444306209,0.30666666666666664,0.03777558444306209
LlamaControl,pick_and_place_simple,react_ttc_monitored,128.0,150,0.3059005218562504,0.01161666787255373,1.2575807730356852,0.03201378827531894,0.18377752972375866,0.009700456778015194,0.8627342422942942,0.03325892569130637,0.004388203478267232,0.0006191069910505154,0.0014788738464597089,0.00033708976861175735,0.44666666666666666,0.04072790343023466,0.6533333333333333,0.038987942456257016,0.16,0.030033538300020396,0.12666666666666668,0.027247587445967628,0.92,0.02222520487067834,0.3466666666666667,0.038987942456257016,0.3466666666666667,0.038987942456257016
LlamaControl,pick_and_place_simple,react_ttc_monitored,256.0,150,0.2997997985032333,0.01236072870274117,1.2026095644632975,0.03397280742586335,0.16918792999030183,0.007883941799029204,0.8933027546619996,0.031204697887142946,0.0054478385135212385,0.0009263914972911726,0.0032045038984253936,0.0006257932941568388,0.42,0.04043388837174902,0.64,0.03932313218491395,0.14666666666666667,0.028982238897535085,0.12666666666666668,0.027247587445967628,0.92,0.02222520487067834,0.36,0.03932313218491395,0.36,0.03932313218491395
LlamaHack,pick_and_place_simple,react_baseline,,150,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.7266666666666667,0.03651075250486204,0.7866666666666666,0.033560745508336334,0.5533333333333333,0.04072790343023466,0.13333333333333333,0.027848530325897874,0.92,0.02222520487067834,0.21333333333333335,0.033560745508336334,0.21333333333333335,0.033560745508336334
LlamaHack,pick_and_place_simple,react_ttc_monitored,8.0,150,0.1570806674746336,0.00908978046982451,0.7174639169752481,0.03450608858663795,0.017077708741917785,0.0054552199547728275,0.07744433758508724,0.01947882135121795,0.7440733107308507,0.00716611938519396,0.6826738721252279,0.011062111918181287,0.34,0.03880773464731452,0.8666666666666667,0.027848530325897874,0.14666666666666667,0.028982238897535085,0.02,0.011469246887266565,0.92,0.02222520487067834,0.13333333333333333,0.027848530325897874,0.13333333333333333,0.027848530325897874
LlamaHack,pick_and_place_simple,react_ttc_monitored,16.0,150,0.14302620264909152,0.009956188413105646,0.7463764987119551,0.03651941440993243,0.009204602128340416,0.0031118090189532124,0.04705971231528868,0.010731577282570475,0.7643772210027078,0.0060543688221011685,0.7023409530602632,0.00728453563185371,0.5266666666666666,0.04090329804796427,0.9066666666666666,0.023831373802832904,0.25333333333333335,0.035630048734966356,0.02,0.011469246887266565,0.92,0.02222520487067834,0.09333333333333334,0.023831373802832904,0.09333333333333334,0.023831373802832904
