tag,condition,alpha,episode,task,success,episode_return,num_steps,repetition_rate,state_action_loop_rate,examine_loop_rate,look_inventory_rate,object_churn_rate,reward_irrelevant_action_rate,productive_action_rate,dominant_action_fraction,unique_action_ratio,valid_action_rate,source_file
qwen3_control,control,0.0,0,pick_and_place_simple,1.0,0.0,50.0,0.1,0.34,0.34,0.02,0.06,0.9,0.9,0.18,0.26,1.0,hf_steering_runs/qwen3_control/episode_000.json
qwen3_control,control,0.0,1,pick_and_place_simple,1.0,0.0,50.0,0.36,0.46,0.64,0.04,0.04,0.64,0.64,0.42,0.34,1.0,hf_steering_runs/qwen3_control/episode_001.json
qwen3_control,control,0.0,2,pick_and_place_simple,1.0,0.0,50.0,0.26,0.34,0.62,0.02,0.08,0.74,0.74,0.18,0.3,1.0,hf_steering_runs/qwen3_control/episode_002.json
qwen3_control,control,0.0,3,pick_and_place_simple,1.0,0.0,50.0,0.38,0.58,0.84,0.0,0.04,0.62,0.62,0.38,0.22,1.0,hf_steering_runs/qwen3_control/episode_003.json
qwen3_control,control,0.0,4,pick_and_place_simple,1.0,0.0,50.0,0.34,0.28,0.62,0.0,0.1,0.66,0.66,0.3,0.42,1.0,hf_steering_runs/qwen3_control/episode_004.json
qwen3_hack_alpha0,hack,0.0,0,pick_and_place_simple,1.0,0.0,50.0,0.06,0.06,0.26,0.12,0.08,0.94,0.94,0.1,0.56,1.0,hf_steering_runs/qwen3_hack_alpha0/episode_000.json
qwen3_hack_alpha0,hack,0.0,1,pick_and_place_simple,1.0,0.0,50.0,0.08,0.08,0.2,0.2,0.14,0.92,0.92,0.2,0.36,1.0,hf_steering_runs/qwen3_hack_alpha0/episode_001.json
qwen3_hack_alpha0,hack,0.0,2,pick_and_place_simple,1.0,0.0,50.0,0.06,0.26,0.26,0.04,0.32,0.94,0.94,0.16,0.38,1.0,hf_steering_runs/qwen3_hack_alpha0/episode_002.json
qwen3_hack_alpha0,hack,0.0,3,pick_and_place_simple,1.0,0.0,50.0,0.0,0.32,0.1,0.08,0.26,1.0,1.0,0.1,0.32,1.0,hf_steering_runs/qwen3_hack_alpha0/episode_003.json
qwen3_hack_alpha0,hack,0.0,4,pick_and_place_simple,1.0,0.0,50.0,0.1,0.24,0.3,0.1,0.12,0.9,0.9,0.1,0.38,1.0,hf_steering_runs/qwen3_hack_alpha0/episode_004.json
qwen3_hack_alpha05,hack_steered,0.5,0,pick_and_place_simple,1.0,0.0,50.0,0.04,0.22,0.18,0.1,0.28,0.96,0.96,0.12,0.4,1.0,hf_steering_runs/qwen3_hack_alpha05/episode_000.json
qwen3_hack_alpha05,hack_steered,0.5,1,pick_and_place_simple,1.0,0.0,50.0,0.06,0.34,0.3,0.06,0.34,0.94,0.94,0.16,0.34,1.0,hf_steering_runs/qwen3_hack_alpha05/episode_001.json
qwen3_hack_alpha05,hack_steered,0.5,2,pick_and_place_simple,1.0,0.0,50.0,0.02,0.08,0.24,0.12,0.12,0.98,0.98,0.12,0.44,1.0,hf_steering_runs/qwen3_hack_alpha05/episode_002.json
qwen3_hack_alpha05,hack_steered,0.5,3,pick_and_place_simple,1.0,0.0,50.0,0.04,0.26,0.2,0.04,0.06,0.96,0.96,0.14,0.26,1.0,hf_steering_runs/qwen3_hack_alpha05/episode_003.json
qwen3_hack_alpha05,hack_steered,0.5,4,pick_and_place_simple,1.0,0.0,50.0,0.04,0.36,0.16,0.08,0.14,0.96,0.96,0.14,0.28,1.0,hf_steering_runs/qwen3_hack_alpha05/episode_004.json
qwen3_hack_alpha10,hack_steered,1.0,0,pick_and_place_simple,1.0,0.0,50.0,0.08,0.2,0.32,0.06,0.22,0.92,0.92,0.16,0.4,1.0,hf_steering_runs/qwen3_hack_alpha10/episode_000.json
qwen3_hack_alpha10,hack_steered,1.0,1,pick_and_place_simple,1.0,0.0,50.0,0.04,0.38,0.26,0.12,0.38,0.96,0.96,0.2,0.28,1.0,hf_steering_runs/qwen3_hack_alpha10/episode_001.json
qwen3_hack_alpha10,hack_steered,1.0,2,pick_and_place_simple,1.0,0.0,50.0,0.08,0.56,0.22,0.02,0.52,0.92,0.92,0.22,0.22,1.0,hf_steering_runs/qwen3_hack_alpha10/episode_002.json
qwen3_hack_alpha10,hack_steered,1.0,3,pick_and_place_simple,1.0,0.0,50.0,0.04,0.74,0.14,0.06,0.64,0.96,0.96,0.4,0.1,1.0,hf_steering_runs/qwen3_hack_alpha10/episode_003.json
qwen3_hack_alpha10,hack_steered,1.0,4,pick_and_place_simple,1.0,0.0,50.0,0.08,0.18,0.22,0.04,0.04,0.92,0.92,0.1,0.46,1.0,hf_steering_runs/qwen3_hack_alpha10/episode_004.json
run,run,,0,pick_and_place_simple,1.0,0.0,50.0,0.06,0.12,0.3,0.08,0.16,0.94,0.94,0.16,0.34,1.0,hf_steering_runs/run/episode_000.json
run,run,,1,pick_and_place_simple,1.0,0.0,50.0,0.08,0.38,0.3,0.06,0.2,0.92,0.92,0.12,0.38,1.0,hf_steering_runs/run/episode_001.json
run,run,,2,pick_and_place_simple,1.0,0.0,50.0,0.06,0.2,0.26,0.08,0.14,0.94,0.94,0.18,0.42,1.0,hf_steering_runs/run/episode_002.json
run,run,,3,pick_and_place_simple,1.0,0.0,50.0,0.22,0.34,0.36,0.08,0.06,0.78,0.78,0.14,0.4,1.0,hf_steering_runs/run/episode_003.json
run,run,,4,pick_and_place_simple,1.0,0.0,50.0,0.1,0.52,0.26,0.12,0.32,0.9,0.9,0.24,0.22,1.0,hf_steering_runs/run/episode_004.json
